domain,title,ip,server,encode
cmdweb.pcc.gov.tw,工程管理資訊,117.56.211.6,"Oracle-Application-Server-10g/10.1.2.0.2 Oracle-HTTP-Server OracleAS-Web-Cache-10g/10.1.2.0.2 (G;max-age=0+0;age=0;ecid=85397051459,0)",big5
invest.tainan.gov.tw,臺南市招商網,210.69.40.77,Microsoft-IIS/6.0,utf8
mes.tainan.gov.tw,材料試驗管理系統,60.249.237.17,Apache-Coyote/1.1,utf8
disaster.tainan.gov.tw,臺南市政府災害應變告示網,210.69.57.134,Microsoft-IIS/7.5,utf8
tnda.tainan.gov.tw,台南市區公所,210.69.40.63,Microsoft-IIS/7.5,big5
epb.tainan.gov.tw,"臺南市政府環境保護局- Environmental Protection Bureau of Tainan City Government",211.79.190.19,Microsoft-IIS/7.0,big5
www.tncghb.gov.tw,臺南市政府衛生局,61.60.120.5,Microsoft-IIS/7.5,utf8
edu.tainan.gov.tw,臺南市政府教育局,163.26.1.3,Apache-Coyote/1.1,big5
personnel.tainan.gov.tw,臺南市政府人事處,210.69.40.73,Microsoft-IIS/6.0,utf8
law01.tainan.gov.tw,臺南市政府-主管法規查詢系統(外部版),210.69.57.143,Microsoft-IIS/7.0,utf8
web.epa.gov.tw,行政院環境保護署,223.200.80.126,Microsoft-IIS/6.0,utf8
enews.epa.gov.tw,IIS7,23.101.12.249,Microsoft-IIS/7.5,utf8
taqm.epa.gov.tw,行政院環境保護署－空氣品質監測網,223.200.80.179,Microsoft-IIS/8.5,utf8
ienv.epa.gov.tw,"愛環境 - 行政院環境保護署",117.56.10.57,Microsoft-IIS/8.5,utf8
wq.epa.gov.tw,行政院環保署-全國環境水質監測資訊網,223.200.80.185,Microsoft-IIS/8.5,utf8
eiadoc.epa.gov.tw,行政院環境保護署「環評書件查詢系統」,223.200.80.237,Microsoft-IIS/8.5,utf8
eeis.epa.gov.tw,,223.200.80.61,,utf8
air.epa.gov.tw,:::::::::::::歡迎光臨行政院環境保護署空氣品質保護及噪音管制處:::::::::,223.200.80.88,Microsoft-IIS/7.5,utf8
iaq.epa.gov.tw,室內空氣品質資訊網,223.200.80.88,Microsoft-IIS/7.5,utf8
mobile.epa.gov.tw,移動污染源管制網,223.200.80.39,Microsoft-IIS/8.5,utf8
river.epa.gov.tw,河川揚塵防制推動資訊網平台,223.200.80.197,Microsoft-IIS/8.5,utf8
freshair.epa.gov.tw,空氣品質淨化區及環境綠化育苗計畫,223.200.80.197,Microsoft-IIS/8.5,big5
air10.epa.gov.tw,,223.200.80.2,,utf8
dws.epa.gov.tw,行政院環境保護署飲用水全球資訊網-首頁,223.200.80.98,Microsoft-IIS/7.5,big5
wqp.epa.gov.tw,,,,utf8
sgw.epa.gov.tw,土壤及地下水污染整治網,223.200.80.155,Microsoft-IIS/7.5,utf8
ust.epa.gov.tw,土壤及地下水管理資訊系統,223.200.80.155,Microsoft-IIS/7.5,utf8
sgwb.epa.gov.tw,"行政院環保署 - 土壤及地下水污染整治費網路申報及查詢系統 - 土壤及地下水污染整治費申報網",117.56.10.21,Microsoft-IIS/7.5,utf8
lcss.epa.gov.tw,"首頁 | 【低碳永續家園】資訊網",223.200.80.59,Microsoft-IIS/7.5,utf8
cfp.epa.gov.tw,,223.200.80.90,Microsoft-IIS/8.5,utf8
ncs.epa.gov.tw,噪音管制資訊網,223.200.80.131,Microsoft-IIS/7.5,big5
ivy1.epa.gov.tw,,,,utf8
www.niea.gov.tw,,117.56.10.12,Microsoft-IIS/7.0,utf8
sedr.epa.gov.tw,公害糾紛處理資訊系統,223.200.80.168,Microsoft-IIS/8.5,utf8
recycle.epa.gov.tw,"資源回收網(資源回收專線:0800-085717您幫我 清一清)",223.200.80.178,Microsoft-IIS/8.5,utf8
recycle2.epa.gov.tw,資源回收管理資訊系統,223.200.80.178,Microsoft-IIS/8.5,utf8
recycle1.epa.gov.tw,營業量申報網站,223.200.80.140,Microsoft-IIS/7.5,big5
epamotor.epa.gov.tw,停止資訊系統服務,223.200.80.178,Microsoft-IIS/8.5,big5
doc.epa.gov.tw,,223.200.80.79,Microsoft-IIS/7.5,utf8
opendata.epa.gov.tw,"OpenData.epa 行政院環境保護署 環境資源資料開放平台",223.200.80.138,Microsoft-IIS/8.0,utf8
eiacs.epa.gov.tw,"IIS Windows Server",223.200.80.161,Microsoft-IIS/8.5,utf8
tcscachemreg.epa.gov.tw,化學物質登錄平台,223.200.80.160,epa,utf8
prtr.epa.gov.tw,"列管污染源資料查詢系統 - 首頁",223.200.80.127,Microsoft-IIS/8.0,utf8
www.emic.gov.tw,防救災雲端計畫-災害情報站,117.56.75.11,Microsoft-IIS/7.5,utf8
www.afa.gov.tw,,210.69.71.45,Microsoft-IIS/6.0,utf8
www.taiwanjobs.gov.tw,"台灣就業通 找工作，找人才，學技能，助創業",124.199.93.131,Microsoft-IIS/8.5,utf8
ivy5.epa.gov.tw,"環保法規查詢系統 - 首頁",223.200.80.167,Microsoft-IIS/8.5,big5
erdb.epa.gov.tw,環境資源資料庫,223.200.80.118,Microsoft-IIS/7.5,utf8
epq.epa.gov.tw,環保專案成果報告查詢系統,223.200.80.154,Microsoft-IIS/7.5,utf8
waste1.epa.gov.tw,系統公告,223.200.80.47,Microsoft-IIS/8.5,big5
ww3.epa.gov.tw,,117.56.10.7,Microsoft-IIS/8.5,utf8
wpcf.epa.gov.tw,【行政院環境保護署】水污染防治費網路申報暨查詢系統,223.200.80.182,Microsoft-IIS/8.5,utf8
waste.epa.gov.tw,事業廢棄物申報及管理資訊系統(諮詢專線：0800-059777),223.200.80.27,Microsoft-IIS/8.5,big5
flora2.epa.gov.tw,毒性化學物質登記申報系統,223.200.80.19,Microsoft-IIS/7.0,utf8
a0-oaout.epa.gov.tw,"Microsoft Internet Information Services 8",223.200.80.146,Microsoft-IIS/8.0,utf8
a0-moenrhome.epa.gov.tw,,223.200.80.200,,utf8
faq.fda.gov.tw,,210.69.111.155,,utf8
oes.fda.gov.tw,"Advanced Search",210.69.111.31,Microsoft-IIS/7.5,utf8
www.mohw.gov.tw,衛生福利部,203.65.100.146,Microsoft-IIS/7.5,utf8
data.fda.gov.tw,食品藥物開放資料平臺,210.69.111.23,Apache-Coyote/1.1,utf8
"www.fda.gov.tw\CommonSearch\GA\20140821.doc",,,,utf8
fadenbook.fda.gov.tw,,210.69.111.71,,utf8
oaps.fda.gov.tw,,210.69.111.72,,utf8
webmail.fda.gov.tw,,210.69.111.6,,utf8
chef.fda.gov.tw,,210.69.111.56,,utf8
ifi.fda.gov.tw,,210.69.111.170,,utf8
www.nccst.nat.gov.tw,"首頁 - 國家資通安全科技中心",168.63.205.141,Microsoft-IIS/8.5,utf8
www.hpa.gov.tw,衛生福利部國民健康署,210.241.78.32,Microsoft-IIS/7.5,utf8
www.cdc.gov.tw,衛生福利部疾病管制署一般民眾版,61.57.41.136,Microsoft-IIS/8.0,utf8
www.nhi.gov.tw,衛生福利部中央健康保險署,210.69.214.131,,utf8
www.ris.gov.tw,"中華民國 內政部戶政司 全‧球‧資‧訊‧網",210.241.14.39,,utf8
wwww.kmnp.gov.tw,"English | Kinmen National Park",210.69.32.224,Microsoft-IIS/7.5,utf8
snnp.cpami.gov.tw,,210.69.84.113,Apache,utf8
english.ymsnp.gov.tw,"Home | Yangmingshan National Park",210.69.204.113,Microsoft-IIS/7.5,utf8
japanese.ymsnp.gov.tw,"ホーム | 陽明山国家公園",210.69.204.113,Microsoft-IIS/7.5,utf8
kids.ymsnp.gov.tw,"首頁 | 陽明山國家公園",210.69.204.113,Microsoft-IIS/7.5,utf8
www.moi.gov.tw,中華民國內政部全球資訊網,210.69.35.201,Microsoft-IIS/7.5,utf8
eip.ymsnp.gov.tw,,210.241.38.161,Microsoft-IIS/8.5,utf8
www.cpami.gov.tw,"首頁 | 中華民國內政部營建署全球資訊網",117.56.58.212,Apache,utf8
npda.cpami.gov.tw,臺灣國家公園數位典藏_一般人員,210.69.204.113,"Apache/2.2.22 (Ubuntu)",utf8
tobacco.hpa.gov.tw,"衛生福利部 | 國民健康署 | 菸害防制資訊網",210.241.78.22,Microsoft-IIS/7.0,utf8
tagv.mohw.gov.tw,反性別暴力資源網TAGV,203.65.97.23,Microsoft-IIS/7.5,utf8
non-barrier-traveling.swcoast-nsa.gov.tw,雲嘉南無障礙設施環境簡介,211.79.201.13,,utf8
photo.swcoast-nsa.gov.tw,雲嘉南濱海國家風景區-多媒體管理系統,211.79.201.13,,big5
www.forest.gov.tw,林務局全球資訊網,223.200.90.182,,utf8
www7.www.gov.tw,電子化政府入口網,117.56.68.141,Microsoft-IIS/7.5,big5
no06.mofa.gov.tw,IIS7,210.69.210.6,Microsoft-IIS/7.5,utf8
eyes.mofa.gov.tw,外交部部長民意電子信箱,210.69.210.7,Microsoft-IIS/7.5,utf8
www.npm.gov.tw,國立故宮博物院歡迎頁,211.20.189.2,Microsoft-IIS/7.5,utf8
maritimeinfo.moi.gov.tw,,210.69.35.189,Microsoft-IIS/6.0,utf8
ai.gov.tw,禽流感資訊專區-動植物防疫檢疫局,163.29.152.15,"Apache/2.2.15 (CentOS)",utf8
www.immigration.gov.tw,中華民國內政部移民署全球資訊網,117.56.25.3,Microsoft-IIS/7.0,utf8
ifi.immigration.gov.tw,新住民培力發展資訊網,117.56.25.3,Microsoft-IIS/7.0,utf8
www.dgpa.gov.tw,"行政院人事行政總處- Directorate-General of Personnel Administration,Executive Yuan",210.65.0.50,Microsoft-IIS/8.5,utf8
ezworktaiwan.wda.gov.tw,勞動部勞動力發展署外國人在臺工作服務網中文網,117.56.83.87,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e-fips Resin/3.1.12",utf8
houserent.cpami.gov.tw,"內政部營建署租屋資訊網 House Rent",210.69.84.122,Microsoft-IIS/8.0,utf8
kids.ey.gov.tw,"行政院全球資訊網 - 兒童版",117.56.132.11,,utf8
eyemail.ey.gov.tw,,117.56.132.40,,utf8
www.bost.ey.gov.tw,行政院科技會報,117.56.132.11,,utf8
www.cpc.ey.gov.tw,行政院消費者保護會,117.56.132.11,,utf8
www.nici.ey.gov.tw,NICI中文網,117.56.132.11,,utf8
www.nicst.ey.gov.tw,行政院國家資通安全會報,117.56.132.11,,utf8
www.cdprc.ey.gov.tw,行政院中央災害防救會報,117.56.132.11,,utf8
www.eycc.ey.gov.tw,行政院中部聯合服務中心,117.56.132.11,,utf8
www.eysc.ey.gov.tw,行政院南部聯合服務中心,117.56.132.11,,utf8
www.eyec.ey.gov.tw,行政院東部聯合服務中心,117.56.132.11,,utf8
www.yctc.ey.gov.tw,行政院雲嘉南區聯合服務中心,117.56.132.11,,utf8
www.sfaa.gov.tw,"::: 歡迎蒞臨社家署全球資訊網 :::",210.241.100.195,Microsoft-IIS/7.5,utf8
www.apc.gov.tw,,210.69.14.134,"Apache/2.2.25 (Win32) mod_jk/1.2.37",utf8
www.moj.gov.tw,法務部全球資訊網,163.29.130.130,Microsoft-IIS/7.5,utf8
nsdn.epa.gov.tw,,223.200.80.87,Microsoft-IIS/7.5,utf8
www.cga.gov.tw,Error,210.241.92.252,,utf8
istf.ey.gov.tw,創創會報,117.56.132.11,,utf8
hdsd.ndc.gov.tw,花東地區永續發展,117.56.68.133,Microsoft-IIS/8.0,utf8
ppp.mof.gov.tw,,210.69.109.34,Microsoft-IIS/8.0,utf8
history.ey.gov.tw,行政院珍貴史料展示,117.56.132.11,,utf8
visawebapp.boca.gov.tw,,210.69.144.45,,utf8
docauth.boca.gov.tw,,210.69.145.100,Apache,utf8
www.ocac.gov.tw,"::: 歡迎蒞臨僑委會全球資訊網 :::",117.56.91.135,Microsoft-IIS/7.5,utf8
